Age,Sex,Job,Housing,Saving accounts,Checking account,Duration,Purpose,Risk,Credit amount,Recovered_Principle,Recoveries,type
67,male,2,own,NA,little,6,radio/TV,good,17000,17000,0,CRM Data
22,female,2,own,little,moderate,48,radio/TV,bad,11000,9942.67,0,CRM Data
49,male,1,own,little,NA,12,education,good,32200,32200,0,CRM Data
45,male,2,free,little,little,42,furniture/equipment,good,12000,12000,0,CRM Data
53,male,2,free,little,little,24,car,bad,7000,167.56,0,CRM Data
35,male,1,free,NA,NA,36,education,good,17300,17300,0,CRM Data
53,male,2,own,quite rich,NA,24,furniture/equipment,good,25575,25575,0,CRM Data
35,male,3,rent,little,moderate,36,car,good,7500,7500,0,CRM Data
61,male,1,own,rich,NA,12,radio/TV,good,20000,20000,0,CRM Data
28,male,3,own,little,moderate,30,car,bad,10000,235.76,0,CRM Data
25,female,2,rent,little,moderate,12,car,bad,9550,195.78,0,CRM Data
24,female,2,rent,little,little,48,business,bad,24000,273.56,0,CRM Data
22,female,2,own,little,moderate,12,radio/TV,good,23000,23000,0,CRM Data
60,male,1,own,little,little,24,car,bad,15000,188.69,0,CRM Data
28,female,2,rent,little,little,15,car,good,5000,5000,0,CRM Data
32,female,1,own,moderate,little,24,radio/TV,bad,24650,522.36,0,CRM Data
53,male,2,own,NA,NA,24,radio/TV,good,18000,18000,0,CRM Data
25,male,2,own,NA,little,30,business,good,35000,35000,0,CRM Data
44,female,3,free,little,moderate,24,car,bad,28500,731.72,5201.51,CRM Data
31,male,2,own,quite rich,NA,24,radio/TV,good,20000,20000,0,CRM Data
48,male,2,own,little,NA,9,car,good,24000,24000,0,CRM Data
44,male,2,rent,quite rich,little,6,radio/TV,good,26125,26125,0,CRM Data
48,male,1,rent,little,little,10,car,good,10000,10000,0,CRM Data
44,male,2,own,moderate,moderate,12,car,good,30000,30000,0,CRM Data
26,male,2,own,NA,NA,10,furniture/equipment,good,24000,24000,0,CRM Data
36,male,1,own,little,little,6,furniture/equipment,good,15050,15050,0,CRM Data
39,male,1,own,little,NA,6,radio/TV,good,32150,32150,0,CRM Data
42,female,2,rent,rich,rich,12,radio/TV,good,14175,14175,0,CRM Data
34,male,2,own,little,moderate,7,radio/TV,good,3000,3000,0,CRM Data
63,male,2,own,little,little,60,business,bad,25000,574.25,5146.5,CRM Data
36,male,2,own,rich,moderate,18,business,good,15450,15450,0,CRM Data
27,male,2,own,little,little,24,furniture/equipment,good,10000,10000,0,CRM Data
30,male,2,own,moderate,moderate,18,car,good,31050,31050,0,CRM Data
57,male,1,rent,NA,NA,12,business,good,12000,12000,0,CRM Data
33,female,3,own,little,rich,12,furniture/equipment,good,12200,12200,0,CRM Data
25,male,1,own,little,moderate,45,radio/TV,bad,27500,0,5008,CRM Data
31,male,2,free,little,NA,48,education,good,7200,7200,0,CRM Data
37,male,2,own,little,rich,18,radio/TV,bad,23475,220.04,4988.3,CRM Data
37,male,2,own,little,rich,10,domestic appliances,good,10000,10000,0,CRM Data
24,male,2,own,little,moderate,9,radio/TV,good,25000,25000,0,CRM Data
30,male,3,own,quite rich,NA,30,radio/TV,good,21000,21000,0,CRM Data
26,male,2,own,quite rich,moderate,12,radio/TV,good,15000,15000,0,CRM Data
44,male,1,own,little,moderate,18,repairs,good,15850,15850,0,CRM Data
24,male,2,rent,moderate,little,30,car,good,3950,3950,0,CRM Data
58,female,1,free,little,little,48,car,bad,24000,967.52,4958.04,CRM Data
35,female,3,own,little,NA,11,car,good,30000,30000,0,CRM Data
39,male,2,own,quite rich,NA,36,radio/TV,good,35000,35000,0,CRM Data
23,female,0,rent,quite rich,little,6,car,good,5600,5600,0,CRM Data
39,male,1,own,little,NA,11,car,good,12275,12275,0,CRM Data
28,female,2,own,moderate,NA,12,radio/TV,good,12000,12000,0,CRM Data
29,male,1,own,NA,moderate,24,furniture/equipment,good,18000,18000,0,CRM Data
30,male,3,own,little,moderate,27,car,good,6000,6000,0,CRM Data
25,male,2,own,little,NA,12,radio/TV,good,14000,14000,0,CRM Data
31,male,2,own,NA,NA,18,car,good,12000,12000,0,CRM Data
57,male,2,free,little,moderate,36,car,bad,27425,715.92,4934.6,CRM Data
26,male,1,own,NA,NA,6,car,good,3000,144.23,0,CRM Data
52,male,3,own,NA,moderate,12,radio/TV,bad,27325,548.79,4894.68,CRM Data
31,female,2,own,little,NA,36,radio/TV,good,10000,10000,0,CRM Data
23,female,3,own,little,rich,18,car,good,6500,6500,0,CRM Data
23,female,1,rent,little,little,36,furniture/equipment,bad,24700,1548.79,4877.96,CRM Data
27,male,2,own,little,moderate,9,business,good,8200,8200,0,CRM Data
50,male,2,own,NA,moderate,15,radio/TV,good,5850,5850,0,CRM Data
61,male,3,free,little,moderate,36,business,bad,30000,2188.01,0,CRM Data
25,male,2,own,little,moderate,48,business,bad,27000,601.73,4742.91,CRM Data
26,female,2,own,little,NA,24,radio/TV,good,20000,20000,0,CRM Data
48,male,2,own,NA,NA,27,repairs,good,5000,5000,0,CRM Data
29,female,2,own,little,NA,12,radio/TV,good,20000,20000,0,CRM Data
22,male,2,own,rich,moderate,12,car,good,28800,28800,0,CRM Data
37,male,2,free,little,NA,36,education,bad,28000,1899.13,0,CRM Data
25,female,2,own,NA,NA,36,radio/TV,good,5500,5500,0,CRM Data
30,female,2,own,little,NA,36,car,good,5000,5000,0,CRM Data
46,male,1,rent,NA,NA,7,radio/TV,good,4250,4250,0,CRM Data
51,male,3,free,little,little,8,vacation/others,good,19200,19200,0,CRM Data
41,female,1,own,little,moderate,42,business,good,5000,5000,0,CRM Data
40,male,3,own,NA,little,36,education,bad,27500,1264.35,4683.02,CRM Data
66,male,3,free,little,little,12,car,good,10050,10050,0,CRM Data
34,male,2,own,little,little,42,radio/TV,bad,25525,0,0,CRM Data
51,male,2,own,little,moderate,11,radio/TV,good,15000,15000,0,CRM Data
39,male,1,own,NA,NA,54,car,good,13000,13000,0,CRM Data
22,male,2,own,little,moderate,30,furniture/equipment,good,3025,128.46,0,CRM Data
44,female,2,own,NA,NA,24,radio/TV,bad,26400,823.46,4663.45,CRM Data
47,male,2,own,quite rich,NA,15,radio/TV,good,4200,4200,0,CRM Data
24,female,1,rent,moderate,NA,18,business,good,15000,15000,0,CRM Data
58,female,1,own,little,little,24,vacation/others,good,35000,35000,0,CRM Data
52,male,1,own,little,little,10,radio/TV,good,12000,12000,0,CRM Data
29,female,3,own,little,NA,12,business,good,1900,1900,0,CRM Data
27,female,2,own,little,moderate,18,furniture/equipment,good,28000,28000,0,CRM Data
47,male,2,free,moderate,moderate,36,education,bad,26000,551.17,4571.56,CRM Data
30,male,3,own,moderate,little,18,car,good,11850,11850,0,CRM Data
28,male,2,own,little,little,12,repairs,bad,22500,859.21,0,CRM Data
56,male,2,own,little,NA,12,radio/TV,good,5625,5625,0,CRM Data
54,male,2,own,little,little,12,car,good,10000,10000,0,CRM Data
33,female,1,own,NA,NA,12,radio/TV,bad,25000,652.45,4550.73,CRM Data
20,male,2,rent,NA,rich,24,furniture/equipment,good,10900,10900,0,CRM Data
54,male,2,own,rich,moderate,12,car,good,1600,1600,0,CRM Data
58,male,2,rent,little,moderate,54,business,bad,24800,206.21,4527.17,CRM Data
61,female,2,own,NA,NA,12,education,good,6000,6000,0,CRM Data
34,male,2,own,moderate,moderate,18,business,good,5000,5000,0,CRM Data
36,male,2,own,little,moderate,36,radio/TV,good,23000,23000,0,CRM Data
36,male,3,rent,NA,moderate,20,car,good,27000,27000,0,CRM Data
41,male,1,rent,moderate,NA,24,car,good,11950,11950,0,CRM Data
24,male,2,rent,little,moderate,36,radio/TV,good,5000,5000,0,CRM Data
24,female,2,own,little,NA,6,radio/TV,good,8000,8000,0,CRM Data
35,male,2,rent,little,moderate,9,furniture/equipment,good,10000,10000,0,CRM Data
26,male,2,rent,NA,NA,12,car,good,16000,16000,0,CRM Data
39,male,3,own,little,moderate,24,vacation/others,bad,24000,2953.29,4434.54,CRM Data
39,male,3,own,little,NA,18,car,bad,25000,545.6,4423.25,CRM Data
32,male,2,own,little,moderate,12,car,good,5000,5000,0,CRM Data
30,female,2,own,NA,little,24,furniture/equipment,good,30000,30000,0,CRM Data
35,male,2,own,quite rich,moderate,14,business,good,22500,22500,0,CRM Data
31,male,2,own,moderate,moderate,6,business,good,25200,25200,0,CRM Data
23,female,2,rent,little,rich,15,education,good,25000,25000,0,CRM Data
28,male,1,rent,little,moderate,18,car,good,24000,24000,0,CRM Data
25,female,2,own,little,NA,36,car,bad,24125,0,0,CRM Data
35,male,2,own,quite rich,little,12,radio/TV,good,15000,15000,0,CRM Data
47,male,2,own,NA,NA,48,radio/TV,good,8000,8000,0,CRM Data
30,female,3,own,NA,little,42,radio/TV,bad,25000,548.91,4402.3,CRM Data
27,female,2,rent,NA,little,10,furniture/equipment,good,35000,35000,0,CRM Data
23,female,2,own,quite rich,little,33,furniture/equipment,bad,20000,583.47,4377.3,CRM Data
36,male,3,own,quite rich,moderate,12,car,good,9600,9600,0,CRM Data
25,female,2,own,little,little,21,radio/TV,bad,24000,0,0,CRM Data
41,female,3,rent,little,NA,24,car,good,15000,15000,0,CRM Data
24,male,1,rent,little,NA,12,furniture/equipment,good,4000,4000,0,CRM Data
63,male,2,free,little,rich,10,car,good,6500,6500,0,CRM Data
27,female,2,rent,NA,moderate,18,furniture/equipment,bad,25000,577.79,4339.99,CRM Data
30,male,2,own,little,little,12,car,good,20000,20000,0,CRM Data
40,male,1,own,little,little,12,radio/TV,good,15100,15100,0,CRM Data
30,male,2,own,little,moderate,12,repairs,bad,25000,585.36,4330.99,CRM Data
34,male,3,own,little,moderate,12,car,good,31000,31000,0,CRM Data
29,female,2,own,little,little,12,car,bad,24125,929.97,4329.46,CRM Data
24,female,2,own,NA,moderate,48,car,good,5000,5000,0,CRM Data
29,male,2,own,little,little,36,education,bad,25000,1105.31,4309.18,CRM Data
27,male,1,own,little,NA,15,furniture/equipment,good,3000,3000,0,CRM Data
47,male,2,free,little,NA,18,furniture/equipment,good,16000,16000,0,CRM Data
21,female,2,own,moderate,NA,60,radio/TV,good,15000,15000,0,CRM Data
38,female,2,own,NA,NA,12,radio/TV,good,25000,25000,0,CRM Data
27,male,2,own,rich,NA,27,car,good,4800,4800,0,CRM Data
66,male,1,own,quite rich,moderate,12,radio/TV,bad,23675,0,0,CRM Data
35,male,2,own,NA,moderate,15,radio/TV,good,22000,22000,0,CRM Data
44,female,1,rent,little,rich,12,radio/TV,good,12725,12725,0,CRM Data
27,male,0,own,rich,rich,6,car,good,10000,10000,0,CRM Data
30,female,3,own,little,moderate,36,radio/TV,good,23100,23100,0,CRM Data
27,male,3,own,little,little,27,radio/TV,good,10000,10000,0,CRM Data
22,male,2,own,little,little,18,furniture/equipment,bad,24075,510.36,4280.05,CRM Data
23,female,2,own,little,NA,21,furniture/equipment,good,19000,19000,0,CRM Data
30,male,2,own,moderate,moderate,48,business,good,6400,557.26,0,CRM Data
39,female,2,own,little,little,6,car,good,6000,6000,0,CRM Data
51,female,2,own,moderate,NA,12,car,good,10800,10800,0,CRM Data
28,male,2,own,little,little,36,furniture/equipment,good,16000,16000,0,CRM Data
46,male,2,own,rich,NA,18,radio/TV,good,9350,9350,0,CRM Data
42,male,2,free,moderate,NA,6,radio/TV,good,35000,35000,0,CRM Data
38,male,2,own,little,NA,10,radio/TV,good,12000,12000,0,CRM Data
24,male,2,own,little,rich,36,radio/TV,good,1000,1000,0,CRM Data
29,female,2,rent,rich,moderate,24,car,good,5000,5000,0,CRM Data
36,male,3,rent,moderate,moderate,24,business,good,35000,35000,0,CRM Data
20,female,2,rent,little,little,12,furniture/equipment,bad,20000,203.06,4236.7,CRM Data
48,male,2,own,moderate,little,9,repairs,good,11000,11000,0,CRM Data
45,male,1,own,little,little,12,education,good,12000,12000,0,CRM Data
38,male,2,own,moderate,moderate,24,car,good,2300,2300,0,CRM Data
34,male,1,own,NA,NA,6,radio/TV,good,8975,8975,0,CRM Data
36,male,2,own,moderate,NA,24,radio/TV,good,12000,12000,0,CRM Data
30,female,2,own,little,NA,18,car,good,12000,12000,0,CRM Data
36,male,2,own,quite rich,NA,15,domestic appliances,good,32000,32000,0,CRM Data
70,male,3,free,little,moderate,10,car,good,8000,8000,0,CRM Data
36,male,2,own,quite rich,NA,36,car,good,20000,20000,0,CRM Data
32,male,2,own,quite rich,NA,6,furniture/equipment,good,25000,25000,0,CRM Data
33,female,2,own,little,little,18,furniture/equipment,bad,20000,743.15,4218.83,CRM Data
20,female,2,own,rich,moderate,11,furniture/equipment,good,13200,13200,0,CRM Data
25,female,2,rent,little,NA,24,furniture/equipment,good,12000,12000,0,CRM Data
31,male,2,own,little,moderate,24,business,bad,20000,396.48,4199.27,CRM Data
33,male,2,rent,little,little,15,car,bad,24000,545.88,4185.14,CRM Data
26,female,2,own,little,NA,12,furniture/equipment,good,3600,3600,0,CRM Data
34,female,3,own,little,moderate,24,furniture/equipment,bad,25000,1700.37,4180.91,CRM Data
33,male,2,own,little,moderate,8,radio/TV,good,15000,15000,0,CRM Data
26,male,2,own,little,little,21,education,bad,22400,196.47,4128.7,CRM Data
53,female,3,own,NA,NA,30,car,bad,23075,494.71,4089.81,CRM Data
42,male,2,own,little,little,12,furniture/equipment,good,25000,1047.5,0,CRM Data
52,male,2,own,quite rich,little,6,radio/TV,good,5000,5000,0,CRM Data
31,male,3,rent,little,NA,12,radio/TV,good,20000,20000,0,CRM Data
65,male,2,own,little,little,21,car,good,11000,11000,0,CRM Data
28,male,2,own,little,NA,36,business,bad,20000,969.44,4053.15,CRM Data
30,male,3,own,little,moderate,36,business,bad,24000,949.86,4050.71,CRM Data
40,male,1,own,NA,little,21,car,bad,20000,1168.04,3967.89,CRM Data
50,male,2,own,rich,NA,24,furniture/equipment,good,17275,17275,0,CRM Data
36,male,2,own,little,moderate,18,car,bad,21825,0,0,CRM Data
31,male,2,own,little,NA,15,radio/TV,good,6000,6000,0,CRM Data
74,female,3,free,little,moderate,9,car,bad,22800,537.53,3942.12,CRM Data
68,male,0,free,little,moderate,16,car,good,35000,35000,0,CRM Data
20,male,2,own,moderate,little,12,radio/TV,bad,20100,1477.43,3923.78,CRM Data
33,female,2,own,little,moderate,18,furniture/equipment,good,20000,20000,0,CRM Data
54,male,3,own,rich,NA,24,business,bad,22200,271.91,3896.31,CRM Data
34,male,1,free,moderate,moderate,48,business,bad,20000,1807.02,3881.14,CRM Data
36,male,2,own,little,moderate,27,business,bad,22000,712.64,3860.27,CRM Data
29,male,2,rent,little,NA,6,radio/TV,good,6000,6000,0,CRM Data
21,male,2,rent,moderate,moderate,45,radio/TV,bad,22950,1560.95,3838.07,CRM Data
34,female,3,own,little,moderate,9,education,bad,21350,228.21,3827.89,CRM Data
28,female,2,own,little,NA,6,radio/TV,good,15000,15000,0,CRM Data
27,female,2,rent,moderate,moderate,12,furniture/equipment,bad,22000,510.79,3814.24,CRM Data
36,male,2,free,NA,moderate,24,car,good,19000,19000,0,CRM Data
40,male,3,own,little,moderate,18,furniture/equipment,bad,20950,205.95,3803.56,CRM Data
52,male,2,own,quite rich,NA,9,education,good,20150,20150,0,CRM Data
27,male,1,own,little,little,12,car,good,16800,16800,0,CRM Data
26,male,2,own,little,NA,27,business,good,25000,25000,0,CRM Data
21,male,2,rent,little,little,12,education,bad,21000,404.88,3790.9,CRM Data
38,male,1,own,little,NA,12,car,good,24000,24000,0,CRM Data
38,male,3,free,little,little,30,car,good,22500,22500,0,CRM Data
43,male,2,own,little,NA,12,furniture/equipment,good,4000,4000,0,CRM Data
26,male,2,own,little,moderate,12,domestic appliances,good,4500,4500,0,CRM Data
21,male,1,own,little,little,24,business,good,35000,35000,0,CRM Data
55,male,2,own,rich,NA,12,car,good,34000,34000,0,CRM Data
33,male,2,own,NA,NA,9,radio/TV,good,20000,20000,0,CRM Data
45,female,1,own,NA,NA,36,radio/TV,good,4800,4800,0,CRM Data
50,male,2,own,little,little,27,business,bad,22000,816.46,3764.12,CRM Data
66,male,3,own,little,rich,30,business,bad,14000,0,0,CRM Data
51,male,2,own,NA,NA,36,radio/TV,good,15600,15600,0,CRM Data
39,female,1,own,NA,moderate,6,education,good,20000,20000,0,CRM Data
31,male,2,own,little,little,18,business,good,23500,23500,0,CRM Data
23,male,2,own,little,rich,36,radio/TV,good,5750,5750,0,CRM Data
24,male,1,rent,little,little,24,furniture/equipment,good,12800,12800,0,CRM Data
64,female,2,own,little,NA,10,car,good,15000,15000,0,CRM Data
26,male,1,own,little,moderate,12,radio/TV,good,3000,3000,0,CRM Data
23,female,2,rent,NA,little,12,education,good,4325,4325,0,CRM Data
30,male,2,own,little,NA,12,radio/TV,good,10550,10550,0,CRM Data
32,male,2,own,NA,NA,24,business,good,35000,35000,0,CRM Data
30,male,2,own,little,NA,15,car,good,25000,25000,0,CRM Data
27,male,2,own,little,NA,36,repairs,good,7000,7000,0,CRM Data
27,male,2,own,rich,moderate,48,radio/TV,bad,18000,623.05,3661.32,CRM Data
53,male,3,free,little,little,12,furniture/equipment,bad,20000,200.79,0,CRM Data
22,male,2,own,little,NA,9,radio/TV,bad,20000,208.68,3598.98,CRM Data
22,male,2,free,little,little,24,furniture/equipment,good,30000,30000,0,CRM Data
26,male,2,own,little,rich,36,radio/TV,bad,20800,932.75,3569.63,CRM Data
51,male,1,free,quite rich,NA,9,car,good,19350,19350,0,CRM Data
35,male,2,own,moderate,NA,12,radio/TV,good,35000,35000,0,CRM Data
25,male,1,own,little,moderate,18,radio/TV,good,10000,10000,0,CRM Data
42,male,1,own,little,NA,4,radio/TV,good,20800,20800,0,CRM Data
30,male,3,own,little,little,24,radio/TV,bad,20000,0,0,CRM Data
23,male,0,own,NA,moderate,6,car,bad,21000,980.04,3559.35,CRM Data
61,male,1,rent,moderate,moderate,21,business,bad,20000,225.87,3555.63,CRM Data
35,female,2,own,little,NA,12,radio/TV,good,6000,6000,0,CRM Data
39,male,2,own,little,little,30,radio/TV,good,4150,4150,0,CRM Data
29,female,2,own,NA,little,24,car,bad,19150,172.86,3519.96,CRM Data
51,male,2,own,little,NA,6,radio/TV,good,18600,18600,0,CRM Data
24,male,2,free,little,little,48,car,bad,20000,448.07,3508.13,CRM Data
27,female,2,own,little,NA,12,business,good,6200,6200,0,CRM Data
35,female,1,own,quite rich,NA,12,education,good,25000,25000,0,CRM Data
25,male,2,own,little,NA,24,business,good,35000,35000,0,CRM Data
52,male,2,own,little,NA,12,radio/TV,good,22800,22800,0,CRM Data
35,male,2,rent,moderate,NA,6,car,good,8150,8150,0,CRM Data
26,male,2,own,little,rich,24,furniture/equipment,good,7000,7000,0,CRM Data
22,female,2,rent,little,NA,18,radio/TV,bad,20000,659.25,3498.35,CRM Data
39,female,1,own,rich,little,6,car,good,25000,25000,0,CRM Data
46,female,1,own,little,rich,12,furniture/equipment,good,12000,12000,0,CRM Data
24,female,2,own,little,moderate,30,car,bad,3600,233.39,3472.19,CRM Data
35,male,2,own,moderate,NA,24,furniture/equipment,good,10500,10500,0,CRM Data
24,male,2,own,NA,moderate,9,furniture/equipment,good,5400,5400,0,CRM Data
27,male,1,own,NA,moderate,60,radio/TV,good,18000,18000,0,CRM Data
35,male,1,own,little,NA,24,radio/TV,good,8150,8150,0,CRM Data
29,male,2,free,little,little,12,radio/TV,bad,16575,432.59,3472.03,CRM Data
23,female,2,own,moderate,NA,15,car,good,4000,4000,0,CRM Data
57,female,1,own,moderate,NA,11,radio/TV,good,25000,25000,0,CRM Data
27,male,2,own,little,little,12,furniture/equipment,good,3600,3600,0,CRM Data
55,female,2,own,little,little,24,radio/TV,good,14400,14400,0,CRM Data
36,male,3,free,little,little,18,car,good,6000,6000,0,CRM Data
57,female,1,free,little,NA,12,education,good,24000,24000,0,CRM Data
32,male,1,own,little,NA,10,car,good,25000,25000,0,CRM Data
37,male,2,own,little,moderate,15,radio/TV,bad,20000,892.29,3437.77,CRM Data
36,male,2,own,NA,NA,36,business,good,12000,12000,0,CRM Data
38,female,2,own,little,NA,24,radio/TV,good,15000,15000,0,CRM Data
45,male,3,own,little,little,14,car,bad,20000,896.89,3426.51,CRM Data
25,male,2,own,NA,NA,24,radio/TV,good,15000,15000,0,CRM Data
32,male,2,own,NA,NA,18,car,good,10725,10725,0,CRM Data
37,female,2,rent,quite rich,NA,12,furniture/equipment,good,33425,33425,0,CRM Data
36,male,3,free,NA,moderate,48,car,good,11625,11625,0,CRM Data
28,male,2,own,little,moderate,48,radio/TV,bad,16825,599.69,3418.67,CRM Data
34,male,1,own,little,little,30,repairs,bad,18075,163.15,0,CRM Data
32,male,2,own,little,NA,9,radio/TV,good,18000,18000,0,CRM Data
26,female,2,own,little,NA,18,radio/TV,good,5000,5000,0,CRM Data
49,male,1,own,NA,little,12,furniture/equipment,good,9000,9000,0,CRM Data
32,female,2,own,little,NA,6,furniture/equipment,bad,15000,0,3276.44,CRM Data
29,male,3,rent,moderate,NA,24,radio/TV,good,8325,8325,0,CRM Data
23,male,2,rent,rich,NA,15,car,good,8000,8000,0,CRM Data
50,male,2,own,little,NA,12,furniture/equipment,good,20000,20000,0,CRM Data
49,male,1,own,NA,rich,18,radio/TV,good,16100,16100,0,CRM Data
63,male,2,own,NA,NA,15,furniture/equipment,good,24000,24000,0,CRM Data
37,male,2,own,moderate,moderate,24,car,good,14400,14400,0,CRM Data
35,female,1,own,little,little,47,car,good,21000,21000,0,CRM Data
26,male,2,own,little,little,48,car,good,3500,3500,0,CRM Data
31,male,3,free,moderate,moderate,48,vacation/others,good,12000,12000,0,CRM Data
49,female,2,own,little,moderate,12,radio/TV,good,25000,25000,0,CRM Data
48,male,2,own,little,little,24,radio/TV,bad,18725,642.35,3251.56,CRM Data
26,male,2,own,little,NA,12,business,good,7200,7200,0,CRM Data
28,male,3,rent,little,moderate,36,car,bad,18000,351.92,0,CRM Data
44,female,3,free,little,little,24,car,good,7000,7000,0,CRM Data
56,male,2,free,little,rich,42,car,good,18575,18575,0,CRM Data
46,male,3,own,NA,NA,48,business,good,10500,10500,0,CRM Data
26,female,2,own,little,moderate,48,furniture/equipment,bad,17750,332.76,3218.31,CRM Data
20,female,2,rent,NA,NA,12,car,good,13025,13025,0,CRM Data
45,male,1,own,NA,NA,10,car,good,16000,16000,0,CRM Data
43,male,2,own,little,NA,18,furniture/equipment,good,10000,10000,0,CRM Data
32,male,2,own,rich,moderate,21,furniture/equipment,good,10800,10800,0,CRM Data
54,female,0,own,little,NA,6,car,good,12000,12000,0,CRM Data
42,female,2,own,little,moderate,36,radio/TV,bad,17500,0,3189.2,CRM Data
37,male,1,own,NA,rich,24,car,bad,16825,298.09,3077.24,CRM Data
49,male,2,own,little,little,10,car,good,10000,10000,0,CRM Data
44,male,2,free,quite rich,NA,48,car,bad,17475,722.46,0,CRM Data
33,male,2,own,rich,NA,6,furniture/equipment,good,15000,15000,0,CRM Data
24,female,1,rent,NA,NA,30,car,good,7000,7000,0,CRM Data
33,male,1,own,moderate,little,12,radio/TV,bad,16700,643.77,2996.97,CRM Data
24,female,2,own,little,moderate,8,furniture/equipment,bad,16100,432.17,2917.31,CRM Data
22,male,1,rent,little,moderate,9,car,good,24000,24000,0,CRM Data
40,male,0,free,NA,moderate,48,vacation/others,good,3000,3000,0,CRM Data
25,male,2,own,moderate,NA,24,furniture/equipment,good,7000,7000,0,CRM Data
26,female,2,own,little,rich,24,furniture/equipment,good,4000,4000,0,CRM Data
25,male,1,own,little,moderate,12,car,bad,16000,0,0,CRM Data
29,male,1,own,NA,rich,4,car,good,20000,20000,0,CRM Data
31,male,2,own,little,little,36,furniture/equipment,bad,16000,166.95,2879.18,CRM Data
38,male,1,own,little,little,12,furniture/equipment,good,35000,35000,0,CRM Data
48,female,1,own,NA,moderate,24,furniture/equipment,good,3600,3600,0,CRM Data
32,male,2,own,little,NA,12,education,good,11450,11450,0,CRM Data
27,female,1,own,little,little,15,furniture/equipment,good,9000,9000,0,CRM Data
28,male,3,own,little,moderate,30,car,bad,14325,727.94,2864.9,CRM Data
32,male,2,own,little,little,24,radio/TV,bad,12000,0,2864.5,CRM Data
34,male,3,free,little,little,24,car,good,16000,16000,0,CRM Data
28,male,2,own,rich,little,18,furniture/equipment,good,12000,12000,0,CRM Data
36,female,2,own,little,NA,18,car,good,25750,25750,0,CRM Data
39,male,1,own,little,little,8,car,good,6000,6000,0,CRM Data
49,male,2,rent,NA,NA,12,furniture/equipment,good,35000,35000,0,CRM Data
34,female,2,own,rich,NA,24,car,good,21000,21000,0,CRM Data
31,male,2,own,little,rich,36,radio/TV,good,35000,35000,0,CRM Data
28,male,2,own,little,moderate,6,radio/TV,good,12000,12000,0,CRM Data
